,focos,municipio
IGARAPE-ACU,1,IGARAPE-ACU
CARAUARI,1,CARAUARI
ROLIM DE MOURA,1,ROLIM DE MOURA
PORTO WALTER,1,PORTO WALTER
BUJARU,1,BUJARU
JUARINA,1,JUARINA
CEDRAL,1,CEDRAL
ANAMA,1,ANAMA
SANTA MARIA DO PARA,1,SANTA MARIA DO PARA
MELGACO,1,MELGACO
ITAUBAL,1,ITAUBAL
BOM LUGAR,1,BOM LUGAR
ARAPOEMA,1,ARAPOEMA
FIGUEIROPOLIS D'OESTE,1,FIGUEIROPOLIS D'OESTE
PONTA DE PEDRAS,1,PONTA DE PEDRAS
ELDORADO DO CARAJAS,1,ELDORADO DO CARAJAS
MUANA,1,MUANA
NOVA BRASILANDIA D'OESTE,1,NOVA BRASILANDIA D'OESTE
ALVORADA D'OESTE,1,ALVORADA D'OESTE
CONCORDIA DO PARA,1,CONCORDIA DO PARA
OLHO D'AGUA DAS CUNHAS,1,OLHO D'AGUA DAS CUNHAS
BERNARDO SAYAO,1,BERNARDO SAYAO
VIANA,1,VIANA
EPITACIOLANDIA,1,EPITACIOLANDIA
MARECHAL THAUMATURGO,1,MARECHAL THAUMATURGO
PRESIDENTE MEDICI,1,PRESIDENTE MEDICI
EIRUNEPE,1,EIRUNEPE
SAO GERALDO DO ARAGUAIA,1,SAO GERALDO DO ARAGUAIA
PEDRA BRANCA DO AMAPARI,1,PEDRA BRANCA DO AMAPARI
BENEVIDES,1,BENEVIDES
